CatalogNo,SongNumber,RecordingDay,RecordingMonth,RecordingYear,RecordingTime,RecordingTimeSeconds,Latitude,Longitude,TimeOfDay,PlaybackUsed,Duration of Song Bout (log(ms)),Mean Syllable Duration (log(ms)),Mean Inter-Syllable Silence Duration (log(ms)),Total Number of Syllables (log(number))
166698,b12of17,11,6,2012,7:08:00,25680,39.6429333,-120.5021833,after sunrise,,7.91490184,2.744417846,2.710128772,4.49980967
167877,b5of5,11,7,2014,8:48:00,31680,42.4352876,-76.3051343,after sunrise,,7.452107781,4.041379027,3.427850972,2.995732274
168310,b2of3,26,6,2011,5:30:00,19800,39.47774,-77.7446,before sunrise,,8.03525835,3.585120989,3.018401073,4.007333185
171947,b7of25,8,6,2010,5:09:00,18540,39.69412,-120.44262,before sunrise,,7.2693072,3.089869327,3.162313601,3.465735903
172206,b4of8,20,6,2010,5:20:00,19200,44.9016667,-110.4183333,before sunrise,,7.624897965,3.673570118,2.980680249,3.555348061
172257,b1of4,22,6,2010,6:22:00,22920,44.9833333,-110.7,after sunrise,,7.884289608,4.049514799,2.946451793,3.555348061
175596,b6of14,27,4,2013,11:37:00,41820,42.349733,-76.699017,after sunrise,,7.900889467,4.731217503,3.409394149,2.944438979
176208,b5of5,28,6,2009,6:45:00,24300,39.1295398,-86.1588192,after sunrise,,7.816141839,3.802740325,2.776549123,3.713572067
176221,b3of5,30,6,2009,6:40:00,24000,39.0726508,-86.2634254,after sunrise,,7.984435691,4.285264937,3.387881606,3.36729583
176251,b4of4,3,7,2009,12:30:00,45000,39.1161497,-86.1766291,after noon,,7.755325211,2.998751144,2.848427877,4.143134726
176252,b2of10,3,7,2009,12:57:00,46620,39.1161497,-86.1766291,after noon,,7.710254996,3.82742698,3.468778322,3.36729583
176261,b5of11,10,7,2009,6:15:00,22500,39.0895361,-86.2209284,before sunrise,,7.535982913,3.799517027,3.246096583,3.295836866
176280,b30of34,24,6,2010,5:57:00,21420,39.1324693,-86.3456726,before sunrise,,6.462459748,4.315722888,3.645076832,1.791759469
179374,b4of11,13,6,2013,7:07:00,25620,39.6193784,-120.2723765,after sunrise,,8.645991177,3.920003173,2.862992852,4.430816799
179993,b1of23,5,6,2013,7:17:00,26220,39.6193784,-120.2723765,after sunrise,,7.81997424,3.949317863,3.189888288,3.496507561
181462,b1of8,15,6,2013,10:20:00,37200,38.048111,-119.263575,after sunrise,,7.719884071,3.209876012,3.252642687,3.80666249
